snapshot_year,neuron_x,neuron_y,ps_cluster,optimal_k,db_score,is_active
2002,0,7,8,15,0.9131,1
2002,5,3,4,15,0.9131,1
2002,-1,7,6,15,0.9131,1
2002,5,4,1,15,0.9131,1
2002,-3,2,13,15,0.9131,1
2002,1,8,6,15,0.9131,0
2002,1,2,8,15,0.9131,1
2002,3,1,5,15,0.9131,0
2002,1,-3,7,15,0.9131,0
2002,2,5,8,15,0.9131,1
2002,4,-1,5,15,0.9131,0
2002,-4,-1,15,15,0.9131,1
2002,4,-4,10,15,0.9131,1
2002,3,2,1,15,0.9131,0
2002,4,0,5,15,0.9131,1
2002,0,-2,7,15,0.9131,0
2002,3,-3,10,15,0.9131,1
2002,-1,-2,7,15,0.9131,1
2002,0,5,8,15,0.9131,1
2002,-3,6,12,15,0.9131,0
2002,-1,5,8,15,0.9131,1
2002,1,-5,9,15,0.9131,1
2002,5,1,4,15,0.9131,1
2002,1,6,8,15,0.9131,1
2002,4,3,1,15,0.9131,1
2002,4,4,1,15,0.9131,1
2002,-2,-1,7,15,0.9131,0
2002,-3,7,12,15,0.9131,0
2002,5,2,4,15,0.9131,1
2002,1,7,8,15,0.9131,1
2002,5,-3,5,15,0.9131,1
2002,3,6,8,15,0.9131,1
2002,6,1,4,15,0.9131,1
2002,-4,3,13,15,0.9131,1
2002,-2,0,13,15,0.9131,0
2002,7,0,5,15,0.9131,0
2002,3,7,2,15,0.9131,1
2002,6,2,4,15,0.9131,1
2002,2,-1,7,15,0.9131,0
2002,1,-2,7,15,0.9131,1
2002,-2,3,13,15,0.9131,0
2002,2,0,7,15,0.9131,1
2002,2,-4,9,15,0.9131,1
2002,-2,4,13,15,0.9131,1
2002,4,1,4,15,0.9131,1
2002,-3,5,12,15,0.9131,1
2002,5,6,2,15,0.9131,0
2002,0,9,6,15,0.9131,1
2002,1,5,8,15,0.9131,1
2002,3,-2,11,15,0.9131,1
2002,-4,1,13,15,0.9131,0
2002,0,-1,7,15,0.9131,1
2002,4,2,1,15,0.9131,0
2002,4,-3,5,15,0.9131,1
2002,5,7,3,15,0.9131,1
2002,-1,-1,7,15,0.9131,0
2002,6,6,1,15,0.9131,0
2002,2,3,1,15,0.9131,1
2002,3,5,1,15,0.9131,0
2002,0,-4,9,15,0.9131,1
2002,0,0,7,15,0.9131,0
2002,2,4,8,15,0.9131,0
2002,-4,2,13,15,0.9131,1
2002,-1,0,13,15,0.9131,0
2006,-2,1,11,15,0.964,1
2006,5,-2,2,15,0.964,1
2006,0,3,12,15,0.964,1
2006,4,6,15,15,0.964,0
2006,0,4,12,15,0.964,1
2006,-1,3,12,15,0.964,0
2006,-2,2,10,15,0.964,0
2006,5,5,3,15,0.964,1
2006,-1,4,12,15,0.964,0
2006,6,-2,1,15,0.964,1
2006,7,2,1,15,0.964,1
2006,4,7,14,15,0.964,1
2006,2,1,15,15,0.964,1
2006,-3,-1,4,15,0.964,1
2006,1,-1,15,15,0.964,1
2006,-4,7,12,15,0.964,1
2006,2,2,15,15,0.964,1
2006,2,-3,7,15,0.964,1
2006,-3,0,5,15,0.964,1
2006,1,-4,7,15,0.964,1
2006,1,0,15,15,0.964,1
2006,3,-1,9,15,0.964,1
2006,4,-2,9,15,0.964,1
2006,-2,6,12,15,0.964,0
2006,0,1,11,15,0.964,0
2006,-1,1,11,15,0.964,0
2006,3,-4,8,15,0.964,1
2006,3,0,9,15,0.964,0
2006,0,8,13,15,0.964,1
2006,-2,7,13,15,0.964,0
2006,-3,3,10,15,0.964,1
2006,4,5,3,15,0.964,1
2006,0,2,12,15,0.964,1
2006,0,-3,7,15,0.964,0
2006,-3,4,10,15,0.964,1
2006,1,3,15,15,0.964,1
2006,-1,2,12,15,0.964,0
2006,-1,-3,7,15,0.964,1
2006,1,4,12,15,0.964,1
2006,-4,5,12,15,0.964,0
2006,2,6,13,15,0.964,0
2006,5,-1,1,15,0.964,0
2006,3,3,3,15,0.964,1
2006,3,4,15,15,0.964,1
2006,2,7,15,15,0.964,1
2006,-2,-2,4,15,0.964,1
2006,5,0,1,15,0.964,1
2006,6,-1,1,15,0.964,1
2006,0,-5,7,15,0.964,1
2006,0,6,13,15,0.964,0
2006,-2,5,12,15,0.964,1
2006,-1,6,12,15,0.964,0
2006,-3,1,5,15,0.964,1
2006,6,0,1,15,0.964,1
2006,1,1,15,15,0.964,1
2006,2,-2,15,15,0.964,0
2006,0,7,13,15,0.964,1
2006,5,3,1,15,0.964,1
2006,-1,7,13,15,0.964,1
2006,5,4,3,15,0.964,1
2006,-3,2,10,15,0.964,1
2006,1,8,13,15,0.964,1
2006,1,2,15,15,0.964,1
2006,3,1,3,15,0.964,1
2006,1,-3,7,15,0.964,1
2006,2,5,15,15,0.964,1
2006,4,-1,2,15,0.964,1
2006,-4,-1,6,15,0.964,1
2006,4,-4,8,15,0.964,1
2006,3,2,3,15,0.964,0
2006,4,0,3,15,0.964,1
2006,0,-2,11,15,0.964,0
2006,3,-3,8,15,0.964,1
2006,-1,-2,7,15,0.964,1
2006,0,5,12,15,0.964,1
2006,-3,6,12,15,0.964,0
2006,-1,5,12,15,0.964,1
2006,1,-5,7,15,0.964,1
2006,5,1,1,15,0.964,1
2006,1,6,13,15,0.964,0
2006,4,3,3,15,0.964,1
2006,4,4,3,15,0.964,1
2006,-2,-1,11,15,0.964,0
2006,-3,7,12,15,0.964,0
2006,5,2,1,15,0.964,1
2006,1,7,13,15,0.964,1
2006,5,-3,2,15,0.964,1
2006,3,6,15,15,0.964,1
2006,6,1,1,15,0.964,1
2006,-4,3,10,15,0.964,1
2006,-2,0,5,15,0.964,0
2006,7,0,1,15,0.964,0
2006,3,7,15,15,0.964,1
2006,6,2,1,15,0.964,1
2006,2,-1,9,15,0.964,1
2006,1,-2,15,15,0.964,0
2006,-2,3,10,15,0.964,0
2006,2,0,15,15,0.964,1
2006,2,-4,7,15,0.964,0
2006,-2,4,10,15,0.964,1
2006,4,1,1,15,0.964,1
2006,-3,5,12,15,0.964,1
2006,5,6,14,15,0.964,0
2006,0,9,13,15,0.964,1
