lambda_,max_neurons,n_iter,window_size,step_size,n_neurons,n_samples,db_1990,db_2000,db_2010,db_2020,mean_db,min_db,max_db,time_seconds
1.5,80,250,3,2,80,2640,0.7430588580009638,0.8110826419494331,0.7979341920626719,0.6597725238325464,0.7529620539614039,0.6597725238325464,0.8110826419494331,3.6
1.5,80,250,5,1,80,4950,0.5633839533685518,0.7992777129052974,0.716554518159664,,0.6930720614778377,0.5633839533685518,0.7992777129052974,10.1
1.5,80,250,5,2,80,2475,0.5155712289385629,0.7533172710478786,0.7506442910829279,,0.6731775970231232,0.5155712289385629,0.7533172710478786,5.2
1.5,80,300,3,1,80,5280,0.5397482317257238,0.8160478053499903,0.8127711102374685,0.6923482817561918,0.7152288572673436,0.5397482317257238,0.8160478053499903,8.4
1.5,80,300,3,2,80,2640,0.7514079663517861,0.7972938776730629,0.8344813743298718,0.6207521694085025,0.7509838469408059,0.6207521694085025,0.8344813743298718,4.3
1.5,80,300,5,1,80,4950,0.5450310545527814,0.769643077620303,0.6637953546552432,,0.659489828942776,0.5450310545527814,0.769643077620303,12.3
1.5,80,300,5,2,80,2475,0.5686619626660486,0.8286942782272424,0.7522252862320753,,0.7165271757084554,0.5686619626660486,0.8286942782272424,6.4
1.5,100,150,3,1,100,5280,0.5050487243479843,0.9335475943425396,0.8388217815424652,0.6215578043908562,0.7247439761559613,0.5050487243479843,0.9335475943425396,5.2
1.5,100,150,3,2,100,2640,0.5476182721488889,0.919468743719414,0.8709916914070933,0.6127163546168966,0.7376987654730732,0.5476182721488889,0.919468743719414,2.6
1.5,100,150,5,1,100,4950,0.472784882723755,0.9607471323640001,0.8017653428663367,,0.7450991193180306,0.472784882723755,0.9607471323640001,7.4
1.5,100,150,5,2,100,2475,0.45371202890578943,0.8334868227260731,0.8063264434307869,,0.6978417650208831,0.45371202890578943,0.8334868227260731,3.9
1.5,100,200,3,1,100,5280,0.7616502034942669,0.7242676802841149,0.734165730450019,0.6255653146663592,0.71141223222369,0.6255653146663592,0.7616502034942669,6.9
1.5,100,200,3,2,100,2640,0.7320866879584953,0.8386956291651804,0.7894839546492362,0.6560733584374432,0.7540849075525888,0.6560733584374432,0.8386956291651804,3.5
1.5,100,200,5,1,99,4950,0.7768919297657955,0.8969484480314387,0.7812361964959548,,0.8183588580977297,0.7768919297657955,0.8969484480314387,9.8
1.5,100,200,5,2,100,2475,0.4533680357674836,0.4887756418564445,0.7456242690378442,,0.562589315553924,0.4533680357674836,0.7456242690378442,5.1
1.5,100,250,3,1,100,5280,0.5052288025482963,0.8520514524778136,0.8239866067892727,0.66513999208576,0.7116017134752857,0.5052288025482963,0.8520514524778136,8.8
1.5,100,250,3,2,100,2640,0.8023025722332512,0.8466139371758514,0.8138325902001053,0.6018104493172879,0.766139887231624,0.6018104493172879,0.8466139371758514,4.4
1.5,100,250,5,1,99,4950,0.4520908757154815,0.8887848339744425,0.7766853583445901,,0.705853689344838,0.4520908757154815,0.8887848339744425,12.6
1.5,100,250,5,2,100,2475,0.4671224092119687,0.6694520427286557,0.7717377904960523,,0.6361040808122256,0.4671224092119687,0.7717377904960523,6.3
1.5,100,300,3,1,100,5280,0.5024685092886317,0.6919111157257827,0.7119874602888714,0.6015465712641633,0.6269784141418623,0.5024685092886317,0.7119874602888714,10.6
1.5,100,300,3,2,100,2640,0.8028116536564651,0.8361937141786894,0.8260877693393834,0.5937762091673527,0.7647173365854727,0.5937762091673527,0.8361937141786894,5.2
1.5,100,300,5,1,100,4950,0.4495303671568509,0.48669670629009315,0.8119585584341303,,0.5827285439603581,0.4495303671568509,0.8119585584341303,15.3
1.5,100,300,5,2,100,2475,0.46712806316080696,0.8251257846234269,0.606165727225083,,0.6328065250031055,0.46712806316080696,0.8251257846234269,7.7
1.5,120,150,3,1,120,5280,0.8422013750668953,0.8560376251363114,0.8308007791295783,0.6095723047439265,0.7846530210191779,0.6095723047439265,0.8560376251363114,6.3
1.5,120,150,3,2,120,2640,0.39603539164486334,0.9792027419744769,0.9688902160187852,0.7103338306564578,0.7636155450736458,0.39603539164486334,0.9792027419744769,3.2
1.5,120,150,5,1,120,4950,0.47125594687277994,0.851159266747292,0.8154867531506848,,0.7126339889235855,0.47125594687277994,0.851159266747292,8.9
1.5,120,150,5,2,120,2475,0.8645877690686545,0.9083773140599405,0.8123232186172228,,0.861762767248606,0.8123232186172228,0.9083773140599405,4.5
1.5,120,200,3,1,120,5280,0.880637842776461,0.8971154031228291,0.8313544388111677,0.6897535412286211,0.8247153064847697,0.6897535412286211,0.8971154031228291,8.1
1.5,120,200,3,2,120,2640,0.40933321969798886,0.5970615147321493,0.751319436933524,0.61859298594194,0.5940767893264006,0.40933321969798886,0.751319436933524,4.1
1.5,120,200,5,1,120,4950,0.8152208905024984,0.9089348374059979,0.8893785945893794,,0.8711781074992918,0.8152208905024984,0.9089348374059979,11.7
1.5,120,200,5,2,119,2475,0.850268971557668,0.8586395809848629,0.7955317147941485,,0.8348134224455599,0.7955317147941485,0.8586395809848629,6.0
1.5,120,250,3,1,120,5280,0.8660784958954846,0.9336061637204318,0.8898469625608423,0.673158546563112,0.8406725421849677,0.673158546563112,0.9336061637204318,10.3
1.5,120,250,3,2,120,2640,0.8265305211926662,0.8689401471721901,0.8299568023100554,0.5551726379821856,0.7701500271642744,0.5551726379821856,0.8689401471721901,5.1
1.5,120,250,5,1,120,4950,0.8289480396023556,0.8489711319225823,0.8421728116566747,,0.8400306610605375,0.8289480396023556,0.8489711319225823,14.6
1.5,120,250,5,2,120,2475,0.4333686653993938,0.8423019265728304,0.8057882873712298,,0.693819626447818,0.4333686653993938,0.8423019265728304,7.5
1.5,120,300,3,1,120,5280,0.832918162476455,0.9287024336547246,0.8531312767445454,0.6841514415585817,0.8247258286085767,0.6841514415585817,0.9287024336547246,12.3
1.5,120,300,3,2,120,2640,0.5065693607294298,0.8802248489213157,0.8188046459616087,0.6279347264228843,0.7083833955088097,0.5065693607294298,0.8802248489213157,6.3
1.5,120,300,5,1,120,4950,0.8324749201601351,0.8995917887809205,0.727113238374682,,0.8197266491052458,0.727113238374682,0.8995917887809205,17.9
1.5,120,300,5,2,120,2475,0.8264319186811829,0.9299819350662747,0.7968010173291433,,0.8510716236922002,0.7968010173291433,0.9299819350662747,9.3
